Applicant_ID,Gender,Married,Dependents,Education,Self_Employed,Employment_Status,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_Score,Credit_History,Existing_Loans_Count,Years_At_Current_Job,Debt_To_Income_Ratio,Property_Area,Loan_Status
APP100000,Female,,1,Graduate,No,Unemployed,7598.0,1264.0,68.0,300.0,561.0,1.0,0,12.7,0.026,Urban,Y
APP100001,Male,No,1,Graduate,No,Unemployed,5170.0,0.0,254.0,360.0,624.0,,0,3.3,0.13,Semiurban,N
APP100002,Female,No,0,Graduate,Yes,Business Owner,7045.0,0.0,104.0,360.0,742.0,1.0,0,8.0,0.052,Rural,Y
APP100003,Female,Yes,0,Not Graduate,No,Salaried,11075.0,679.0,,240.0,,1.0,0,0.6,0.04,Urban,Y
APP100004,Male,Yes,0,Graduate,No,Salaried,4160.0,3304.0,78.0,360.0,779.0,1.0,2,0.4,0.026,Urban,Y
APP100005,Female,Yes,0,Graduate,No,Salaried,5136.0,2699.0,94.0,360.0,682.0,1.0,2,0.0,0.037,Semiurban,Y
APP100006,Female,No,0,Graduate,No,Salaried,4454.0,0.0,80.0,360.0,448.0,0.0,1,6.0,0.058,Urban,N
APP100007,Female,,3+,Not Graduate,No,Business Owner,12237.0,0.0,193.0,120.0,707.0,1.0,1,0.5,0.108,Semiurban,Y
APP100008,Male,No,0,Graduate,No,Self-Employed,4103.0,0.0,270.0,84.0,659.0,0.0,2,3.4,0.909,Urban,N
APP100009,Male,Yes,0,Graduate,Yes,Self-Employed,7989.0,1073.0,87.0,360.0,650.0,1.0,0,6.5,0.03,Rural,Y
APP100010,Male,Yes,1,Graduate,No,Salaried,4472.0,4450.0,86.0,60.0,760.0,1.0,0,0.9,0.17,Semiurban,Y
APP100011,female,Yes,0,Graduate,No,Salaried,7669.0,1990.0,116.0,180.0,625.0,1.0,0,9.3,0.083,Semiurban,Y
APP100012,Female,Yes,0,Not Graduate,No,Business Owner,4421.0,1302.0,224.0,240.0,702.0,1.0,0,5.7,0.189,Rural,Y
APP100013,Female,No,0,Not Graduate,No,Salaried,5866.0,0.0,,120.0,553.0,1.0,2,1.1,0.067,Urban,Y
APP100014,Male,Yes,3+,Graduate,Yes,Salaried,13042.0,2143.0,100.0,84.0,513.0,1.0,1,5.8,0.081,Semiurban,Y
APP100015,Male,Yes,0,Not Graduate,No,Self-Employed,8591.0,1311.0,130.0,60.0,596.0,1.0,0,12.4,0.267,Semiurban,Y
APP100016,Male,Yes,1,Graduate,No,Self-Employed,7513.0,1418.0,100.0,36.0,622.0,1.0,0,1.3,0.291,Urban,Y
APP100017,Male,Yes,2,Not Graduate,No,Salaried,8360.0,1709.0,151.0,360.0,699.0,1.0,1,0.4,0.039,Urban,Y
APP100018,Female,Yes,0,Graduate,No,Salaried,13495.0,6058.0,131.0,120.0,551.0,1.0,3,1.4,0.059,Semiurban,N
APP100019,,Yes,1,Graduate,No,Business Owner,7705.0,1929.0,72.0,84.0,786.0,1.0,0,8.2,0.087,Semiurban,Y
APP100020,Female,No,0,Not Graduate,No,Business Owner,10777.0,0.0,188.0,60.0,563.0,1.0,0,20.4,0.401,Semiurban,Y
APP100021,Male,No,0,Not Graduate,No,Salaried,10911.0,0.0,82.0,84.0,642.0,0.0,0,3.1,0.109,Urban,Y
APP100022,Female,No,0,Graduate,No,Business Owner,10331.0,0.0,153.0,180.0,651.0,1.0,2,0.8,0.11,Urban,N
APP100023,Female,Yes,3+,Graduate,Yes,Salaried,17311.0,4420.0,77.0,84.0,677.0,1.0,0,11.4,0.05,Rural,Y
APP100024,Female,Yes,0,Not Graduate,No,Self-Employed,9220.0,2942.0,152.0,84.0,691.0,1.0,0,2.1,0.155,Urban,N
APP100025,Male,Yes,0,Graduate,No,Salaried,10496.0,709.0,130.0,360.0,850.0,1.0,0,9.6,0.023,Rural,Y
APP100026,Male,Yes,,Graduate,No,Business Owner,5906.0,2925.0,140.0,180.0,596.0,1.0,0,0.1,0.093,Semiurban,Y
APP100027,Male,Yes,0,Graduate,,Self-Employed,7292.0,2178.0,157.0,60.0,678.0,1.0,0,2.0,0.232,Semiurban,N
APP100028,Male,Yes,2,Graduate,No,Salaried,7155.0,2601.0,212.0,300.0,642.0,1.0,0,4.3,0.056,Urban,Y
APP100029,Female,Yes,1,Graduate,No,Salaried,5128.0,3616.0,110.0,36.0,738.0,1.0,0,6.9,0.414,Rural,N
