Applicant_ID,Gender,Married,Education,Employment_Status,Property_Area,ApplicantIncome,CoapplicantIncome,Total_Income,Income_Bracket,LoanAmount_INR,Loan_Amount_Term,EMI,Balance_Income,Credit_Score,Credit_Score_Band,Credit_History,Debt_To_Income_Ratio,Existing_Loans_Count,Years_At_Current_Job,Risk_Category,Loan_Status,Predicted_Loan_Status,Max_Eligible_Amount_INR,Approved_Amount_INR,Final_Decision,Decision_Reason
APP100000,Female,Yes,Graduate,Unemployed,Urban,7598.0,1264.0,8862.0,6K-10K,68000,300,617.92,8244.08,561,Poor,1,0.026,0,12.7,High Risk,Approved,Approved,195000,68000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100001,Male,No,Graduate,Unemployed,Semiurban,5170.0,0.0,5170.0,3K-6K,254000,360,2229.03,2940.97,624,Fair,1,0.13,0,3.3,Medium Risk,Rejected,Rejected,206200,0,Rejected,"Applicant is currently unemployed; Requested amount (₹2,54,000) exceeds the maximum eligible amount (₹2,06,200) based on income and repayment capacity"
APP100002,Female,No,Graduate,Business Owner,Rural,7045.0,0.0,7045.0,6K-10K,104000,360,912.67,6132.33,742,Very Good,1,0.052,0,8.0,Low Risk,Approved,Approved,401400,104000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100003,Female,Yes,Not Graduate,Salaried,Urban,11075.0,679.0,11754.0,10K-20K,139000,240,1341.38,10412.62,650,Fair,1,0.04,0,0.6,Medium Risk,Approved,Approved,426300,139000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100004,Male,Yes,Graduate,Salaried,Urban,4160.0,3304.0,7464.0,6K-10K,78000,360,684.51,6779.49,779,Very Good,1,0.026,2,0.4,Low Risk,Approved,Approved,340200,78000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100005,Female,Yes,Graduate,Salaried,Semiurban,5136.0,2699.0,7835.0,6K-10K,94000,360,824.92,7010.08,682,Good,1,0.037,2,0.0,Low Risk,Approved,Approved,312500,94000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100006,Female,No,Graduate,Salaried,Urban,4454.0,0.0,4454.0,3K-6K,80000,360,702.06,3751.94,448,Poor,0,0.058,1,6.0,High Risk,Rejected,Rejected,50800,0,Rejected,"No established credit history; Low credit score (448), below the minimum threshold of 580; Requested amount (₹80,000) exceeds the maximum eligible amount (₹50,800) based on income and repayment capacity"
APP100007,Female,Yes,Not Graduate,Business Owner,Semiurban,12237.0,0.0,12237.0,10K-20K,193000,120,2550.51,9686.49,707,Good,1,0.108,1,0.5,Low Risk,Approved,Approved,370400,193000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100008,Male,No,Graduate,Self-Employed,Urban,4103.0,0.0,4103.0,3K-6K,270000,84,4482.32,-379.32,659,Fair,0,0.909,2,3.4,High Risk,Rejected,Rejected,24700,0,Rejected,"No established credit history; High debt-to-income ratio (91%); Estimated loan installment exceeds the applicant's disposable income; Requested amount (₹2,70,000) exceeds the maximum eligible amount (₹24,700) based on income and repayment capacity"
APP100009,Male,Yes,Graduate,Self-Employed,Rural,7989.0,1073.0,9062.0,6K-10K,87000,360,763.49,8298.51,650,Fair,1,0.03,0,6.5,Medium Risk,Approved,Approved,361400,87000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100010,Male,Yes,Graduate,Salaried,Semiurban,4472.0,4450.0,8922.0,6K-10K,86000,60,1827.25,7094.75,760,Very Good,1,0.17,0,0.9,Low Risk,Approved,Approved,210000,86000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
APP100011,Female,Yes,Graduate,Salaried,Semiurban,7669.0,1990.0,9659.0,6K-10K,116000,180,1246.54,8412.46,625,Fair,1,0.083,0,9.3,Medium Risk,Approved,Approved,314600,116000,Approved,"Meets credit history, credit score, and income-based affordability requirements"
